seed,L_min,beta,lambda_alarm,kappa_iid,best_obj,changepoints,objective_gap
7,104,0.6,0.25,0.25,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.25,0.75,90616.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.25,1.5,90617.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.5,0.0,90614.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.5,0.25,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.5,0.75,90616.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.5,1.5,90617.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,1.0,0.0,90614.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,1.0,0.25,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,1.0,0.75,90616.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,1.0,1.5,90617.6631288781,"[1690, 1950]",12.494310843758285
7,104,1.0,0.0,0.0,90615.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.0,0.25,90615.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.0,0.75,90616.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.0,1.5,90618.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.25,0.0,90615.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.25,0.25,90615.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.25,0.75,90616.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.25,1.5,90618.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.5,0.0,90615.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.5,0.25,90615.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.5,0.75,90616.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,0.5,1.5,90618.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,1.0,0.0,90615.46312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,1.0,0.25,90615.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,1.0,0.75,90616.96312887811,"[1690, 1950]",12.494310843758285
7,104,1.0,1.0,1.5,90618.46312887811,"[1690, 1950]",12.494310843758285
7,156,0.1,0.0,0.0,90614.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.0,0.25,90615.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.0,0.75,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.0,1.5,90617.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.25,0.0,90614.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.25,0.25,90615.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.25,0.75,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.25,1.5,90617.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.5,0.0,90614.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.5,0.25,90615.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.5,0.75,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,0.5,1.5,90617.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,1.0,0.0,90614.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,1.0,0.25,90615.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,1.0,0.75,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.1,1.0,1.5,90617.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.3,0.0,0.0,90615.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.0,0.25,90615.80385971852,"[1144, 2080]",9.505997610685881
