seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
29,52,1.0,0.5,90597.39028431277,"[1144, 2236]",2.816591753537068
29,52,1.0,1.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,52,1.0,2.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,52,2.0,0.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,52,2.0,0.5,90599.39028431277,"[1144, 2236]",2.816591753537068
29,52,2.0,1.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,52,2.0,2.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,52,4.0,0.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,52,4.0,0.5,90603.39028431277,"[1144, 2236]",2.816591753537068
29,52,4.0,1.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,52,4.0,2.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,104,0.5,0.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,104,0.5,0.5,90596.39028431277,"[1144, 2236]",2.816591753537068
29,104,0.5,1.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,104,0.5,2.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,104,1.0,0.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,104,1.0,0.5,90597.39028431277,"[1144, 2236]",2.816591753537068
29,104,1.0,1.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,104,1.0,2.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,104,2.0,0.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,104,2.0,0.5,90599.39028431277,"[1144, 2236]",2.816591753537068
29,104,2.0,1.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,104,2.0,2.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,104,4.0,0.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,104,4.0,0.5,90603.39028431277,"[1144, 2236]",2.816591753537068
29,104,4.0,1.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,104,4.0,2.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,156,0.5,0.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,156,0.5,0.5,90596.39028431277,"[1144, 2236]",2.816591753537068
29,156,0.5,1.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,156,0.5,2.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,156,1.0,0.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,156,1.0,0.5,90597.39028431277,"[1144, 2236]",2.816591753537068
29,156,1.0,1.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,156,1.0,2.0,90597.39028431277,"[1144, 2236]",2.816591753537068
29,156,2.0,0.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,156,2.0,0.5,90599.39028431277,"[1144, 2236]",2.816591753537068
29,156,2.0,1.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,156,2.0,2.0,90599.39028431277,"[1144, 2236]",2.816591753537068
29,156,4.0,0.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,156,4.0,0.5,90603.39028431277,"[1144, 2236]",2.816591753537068
29,156,4.0,1.0,90603.39028431277,"[1144, 2236]",2.816591753537068
29,156,4.0,2.0,90603.39028431277,"[1144, 2236]",2.816591753537068
53,26,0.5,0.0,90573.48497873213,"[2132, 2158]",0.06928201284608804
53,26,0.5,0.5,90573.55426074498,"[2392, 2418]",0.43071798715391196
53,26,0.5,1.0,90573.55426074498,"[2392, 2418]",0.930717987153912
53,26,0.5,2.0,90573.55426074498,"[2392, 2418]",1.930717987153912
53,26,1.0,0.0,90574.48497873213,"[2132, 2158]",0.06928201284608804
53,26,1.0,0.5,90574.55426074498,"[2392, 2418]",0.43071798715391196
53,26,1.0,1.0,90574.55426074498,"[2392, 2418]",0.930717987153912
53,26,1.0,2.0,90574.55426074498,"[2392, 2418]",1.930717987153912
53,26,2.0,0.0,90576.48497873213,"[2132, 2158]",0.06928201284608804
53,26,2.0,0.5,90576.55426074498,"[2392, 2418]",0.43071798715391196
53,26,2.0,1.0,90576.55426074498,"[2392, 2418]",0.930717987153912
53,26,2.0,2.0,90576.55426074498,"[2392, 2418]",1.930717987153912
53,26,4.0,0.0,90580.48497873213,"[2132, 2158]",0.06928201284608804
53,26,4.0,0.5,90580.55426074498,"[2392, 2418]",0.43071798715391196
53,26,4.0,1.0,90580.55426074498,"[2392, 2418]",0.930717987153912
53,26,4.0,2.0,90580.55426074498,"[2392, 2418]",1.930717987153912
53,52,0.5,0.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,52,0.5,0.5,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,52,0.5,1.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,52,0.5,2.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,52,1.0,0.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,52,1.0,0.5,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,52,1.0,1.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,52,1.0,2.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,52,2.0,0.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,52,2.0,0.5,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,52,2.0,1.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,52,2.0,2.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,52,4.0,0.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,52,4.0,0.5,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,52,4.0,1.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,52,4.0,2.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,104,0.5,0.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,104,0.5,0.5,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,104,0.5,1.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,104,0.5,2.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,104,1.0,0.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,104,1.0,0.5,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,104,1.0,1.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,104,1.0,2.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,104,2.0,0.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,104,2.0,0.5,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,104,2.0,1.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
